flow_id,path,src,dst,tx_packets,rx_packets,lost_packets,avg_delay_ms,throughput_mbps,packet_loss_percent
1,MEC,10.1.1.1,10.1.2.2,18750,18750,0,2.1082,20.463,0.0
2,CLOUD,10.1.1.1,10.1.4.2,18750,18750,0,36.2362,20.3857,0.0
